timestamp_sec,latitude_deg,longitude_deg,altitude_m,heading_deg,speed_ms,pitch_deg,roll_deg,yaw_rate_dps,mission_phase,waypoint_reached,active_failures
7.5,47.671,9.513,0,90,15,0,0,0,cruise,0,
7.6,47.671,9.51302,0,90,15,0,0,0,cruise,0,
7.7,47.671,9.51304,0,90,15,0,0,0,cruise,0,
7.8,47.671,9.51306,0,90,15,0,0,0,cruise,0,
7.9,47.671,9.51308,0,90,15,0,0,0,cruise,0,
8,47.671,9.5131,0,90,15,0,0,0,cruise,0,
8.1,47.671,9.51312,0,90,15,0,0,0,cruise,0,
8.2,47.671,9.51314,0,90,15,0,0,0,cruise,0,
8.3,47.671,9.51316,0,90,15,0,0,0,cruise,0,
8.4,47.671,9.51318,0,90,15,0,0,0,cruise,0,
8.5,47.671,9.5132,0,90,15,0,0,0,cruise,0,
8.6,47.671,9.51322,0,90,15,0,0,0,cruise,0,
8.7,47.671,9.51324,0,90,15,0,0,0,cruise,0,
8.8,47.671,9.51326,0,90,15,0,0,0,cruise,0,
8.9,47.671,9.51328,0,90,15,0,0,0,cruise,0,
9,47.671,9.5133,0,90,15,0,0,0,cruise,0,
9.1,47.671,9.51332,0,90,15,0,0,0,cruise,0,
9.2,47.671,9.51334,0,90,15,0,0,0,cruise,0,
9.3,47.671,9.51336,0,90,15,0,0,0,cruise,0,
9.4,47.671,9.51338,0,90,15,0,0,0,cruise,0,
9.5,47.671,9.5134,0,90,15,0,0,0,cruise,0,
9.6,47.671,9.51342,0,90,15,0,0,0,cruise,0,
9.7,47.671,9.51344,0,90,15,0,0,0,cruise,0,
9.8,47.671,9.51346,0,90,15,0,0,0,cruise,0,
9.9,47.671,9.51348,0,90,15,0,0,0,cruise,0,
10,47.671,9.5135,0,90,15,0,0,0,cruise,0,
10.1,47.671,9.51352,0,90,15,0,0,0,cruise,0,
10.2,47.671,9.51354,0,90,15,0,0,0,cruise,0,
10.3,47.671,9.51356,0,90,15,0,0,0,cruise,0,
10.4,47.671,9.51358,0,90,15,0,0,0,cruise,0,
10.5,47.671,9.5136,0,90,15,0,0,0,cruise,0,
10.6,47.671,9.51362,0,90,15,0,0,0,cruise,0,
10.7,47.671,9.51364,0,90,15,0,0,0,cruise,0,
10.8,47.671,9.51366,0,90,15,0,0,0,cruise,0,
10.9,47.671,9.51368,0,90,15,0,0,0,cruise,0,
11,47.671,9.5137,0,90,15,0,0,0,cruise,0,
11.1,47.671,9.51372,0,90,15,0,0,0,cruise,0,
11.2,47.671,9.51374,0,90,15,0,0,0,cruise,0,
11.3,47.671,9.51376,0,90,15,0,0,0,cruise,0,
11.4,47.671,9.51378,0,90,15,0,0,0,cruise,0,
11.5,47.671,9.5138,0,90,15,0,0,0,cruise,0,
11.6,47.671,9.51382,0,90,15,0,0,0,cruise,0,
11.7,47.671,9.51384,0,90,15,0,0,0,cruise,0,
11.8,47.671,9.51386,0,90,15,0,0,0,cruise,0,
11.9,47.671,9.51388,0,90,15,0,0,0,cruise,0,
